Episode,AverageReward_CQL
1,-43.44890625000012
2,-29.257187500000214
3,-31.96984375000003
4,-43.06281250000007
5,-37.35031249999998
6,-36.10515625000007
7,-38.66781249999996
8,-37.64640624999999
9,-41.81546874999997
10,-31.083750000000013
11,-42.41000000000003
12,-33.66687500000007
13,-32.15578125000018
14,-40.1120312500002
15,-22.85328125000009
16,-22.752187500000016
17,-32.78796875
18,-41.47812499999998
19,-34.605781250000035
20,-43.10140625000002
21,-28.989843750000013
22,-27.604687500000065
23,-22.115937500000026
24,-40.81046875000015
25,-22.426249999999982
26,-33.28187500000019
27,-21.410937499999985
28,-30.16703125000021
29,-28.31453125000005
30,-33.84171874999999
31,-27.640781250000057
32,-32.91843750000003
33,-28.34281250000009
34,-25.53421875000006
35,-38.93250000000018
36,-40.820000000000285
37,-29.22296875000018
38,-37.645156250000156
39,-28.58125000000013
40,-26.774843750000066
41,-31.213750000000125
42,-24.146093750000173
43,-28.445312500000203
44,-25.68265625000015
45,-29.271093750000144
46,-27.13140625000017
47,-34.13125000000013
48,-30.91796875000005
49,-35.24531250000015
50,-32.86359375000015
51,-26.05359375000012
52,-31.173750000000073
53,-39.315156250000115
54,-33.97968750000012
55,-37.59484375000014
56,-26.20906250000016
57,-19.351562499999986
58,-25.50437500000007
59,-40.42531250000016
60,-23.30312500000018
61,-11.482968750000012
62,-32.33343750000004
63,-28.714687500000046
64,-32.14546875000005
65,-16.895937500000002
66,-30.61078125000001
67,-39.75156250000004
68,-21.2593750000001
69,-10.884531249999979
70,-27.65296875000005
71,-25.347656249999993
72,-28.40250000000006
73,-10.746874999999907
74,-41.17328125000028
75,-34.80484375000024
76,-40.43765625000008
77,-38.14343750000023
78,-22.29078125000004
79,-30.963906250000115
80,-32.46421875000015
81,-33.39562499999999
82,-20.22562500000002
83,-30.578437500000234
84,-18.51218750000001
85,-31.53015625000003
86,-23.39374999999998
87,-23.270468750000106
88,-26.31437500000013
89,-20.701250000000005
90,-29.95718750000001
91,-31.89703125000006
92,-44.19796874999992
93,-38.332656250000014
94,-43.163125000000036
95,-26.756093749999994
96,-36.67984375000003
97,-34.39328125000002
98,-28.578281250000007
99,-20.986093750000034
100,-35.450312500000116
101,-25.96812500000004
102,-39.10265625000009
103,-25.67796875000013
104,-33.55953125000007
105,-30.730937500000103
106,-26.97281249999998
107,-29.750312500000128
108,-42.7523437500002
109,-33.6548437500002
110,-17.707187499999993
111,-27.220000000000052
112,-31.838437500000257
113,-22.902187500000068
114,-33.11406250000024
115,-18.840937499999985
116,-26.852812500000148
117,-28.45921875000008
118,-36.93749999999999
119,-32.01765624999998
120,-22.768125000000076
121,-2.5553124999999466
122,-19.29359375000004
123,-29.02765625000004
124,-11.896406249999982
125,-10.421406249999976
126,-22.642031250000066
127,-17.411406250000017
128,-33.33312500000009
129,-34.69921875000008
130,-28.724687499999987
131,-33.71921875
132,-30.852656249999995
133,-18.557968749999997
134,-24.438593750000027
135,-22.392500000000037
136,-31.580625
137,-46.030468750000175
138,-18.468437499999993
139,-19.799531249999998
140,-20.613750000000028
141,-16.144531249999996
142,-33.443125000000066
143,-14.72015624999999
144,-42.66328125000001
145,-22.38265625000005
146,-28.186718750000118
147,-25.270312499999996
148,-31.024687500000052
149,-38.15749999999998
150,-36.579843749999974
151,-23.633750000000056
152,-21.55156250000005
153,-2.1681249999999896
154,-24.30484375000008
155,-33.82156250000005
156,-36.81640625000016
157,-27.81687500000012
158,-42.67906250000009
159,-33.316093750000086
160,-15.79687499999999
161,-28.13171875000004
162,-13.409531249999985
163,-35.005312499999995
164,-30.193281250000016
165,-26.69890624999996
166,-36.72359375000003
167,-31.44562500000017
168,-30.63343750000004
169,-22.88953125
170,-22.227968750000045
171,-7.083124999999974
172,-33.140000000000015
173,-30.837343749999977
174,-21.850000000000026
175,-4.3357812499999815
176,-26.017968750000083
177,-24.572656249999987
178,-25.786562499999977
179,-32.29749999999999
180,-37.27890625000003
181,-39.02078125000002
182,-35.287187499999966
183,-34.303906250000104
184,-20.718593750000014
185,-19.9353125
186,-37.74671875000004
187,-24.304218750000054
188,-14.441250000000007
189,-26.766718750000003
190,-29.96640625000003
191,-24.749687500000057
192,-23.204375000000063
193,-42.54484375000023
194,-21.297968749999992
195,-15.304218749999961
196,-14.639687499999948
197,-30.331718750000025
198,-27.187187500000046
199,-14.75593749999996
200,-22.723125000000017
201,-43.607031250000006
202,-11.41328124999997
203,-40.44765625
204,-16.862031249999976
205,-25.674375000000026
206,-26.063593750000045
207,-27.204531250000034
208,-11.97187499999999
209,-28.560937500000055
210,-23.00937500000007
211,-27.246093750000007
212,-10.359843749999975
213,-25.012812499999992
214,-31.35812499999998
215,-28.769843750000003
216,-28.53421875000007
217,-27.014062500000133
218,-23.796406249999958
219,-31.19171875000003
220,-25.829843750000002
221,-22.32156250000005
222,-30.160312500000007
223,-39.56109374999999
224,-37.43250000000014
225,-37.28437499999995
226,-25.11281250000004
227,-14.722031249999954
228,-39.56296875000004
229,-36.32843749999998
230,-29.447187500000016
231,-35.396093749999956
232,-33.29218750000005
233,-22.89828125000003
234,-31.547500000000007
235,-33.42703125000009
236,-19.898281249999993
237,-34.142187500000034
238,-35.08890625000014
239,-27.535468750000113
240,-19.045156250000037
241,-26.282656250000144
242,-24.386249999999986
243,-37.77343750000006
244,-23.84796875000003
245,-28.597031250000107
246,-28.223593750000017
247,-28.79453124999998
248,-38.81171874999999
249,-46.84859375000002
250,-35.425156250000036
251,-26.312968750000046
252,-25.064687499999984
253,-23.665312500000027
254,-34.471406250000136
255,-23.065312500000037
256,-23.112968750000036
257,-40.98484374999999
258,-11.661249999999978
259,-22.962187500000002
260,-36.10562500000009
261,-21.23531249999999
262,-30.32265625000006
263,-23.31062499999999
264,-27.582500000000003
265,-24.65390625000003
266,-20.62687499999998
267,-35.18171875000008
268,-39.539218749999996
269,-28.4392187500001
270,-30.934843750000024
271,-31.245468750000015
272,-25.79828124999997
273,-26.16015625000011
274,-41.72593749999999
275,-36.63062500000003
276,-23.382500000000043
277,-26.850156250000047
278,-29.549062499999994
279,-27.901718750000043
280,-31.233281249999973
281,-20.272343750000065
282,-26.0382812500001
283,-23.209375000000055
284,-18.262187500000014
285,-26.858906250000025
286,-36.23500000000008
287,-32.89343750000003
288,-34.59000000000001
289,-43.20765625000019
290,-22.893125000000218
291,-16.07812499999997
292,-14.165937499999957
293,-15.262187500000035
294,-27.549375000000104
295,-14.084062499999984
296,-20.516875000000002
297,-16.67796874999999
298,-22.900468749999987
299,-29.99546874999998
300,-41.35031249999998
301,-43.35500000000006
302,-21.570625000000014
303,-35.14468750000008
304,-29.929375000000192
305,-24.072343750000048
306,-26.213281249999994
307,-36.868750000000006
308,-18.906562499999982
309,-33.350781250000075
310,-15.099218749999991
311,-20.443906250000023
312,-26.487343750000008
313,-22.168437500000007
314,-15.147187499999987
315,-29.770312500000042
316,-8.385937500000006
317,-38.25499999999999
318,-37.88921874999996
319,-39.56609375
320,-44.29640624999996
321,-24.290937500000016
322,-25.677656250000034
323,-11.926874999999997
324,-27.81578125000005
325,-25.192343750000077
326,-28.80937500000001
327,-18.237968749999993
328,-27.90765625000001
329,-43.99421875000001
330,-39.80515624999996
331,-46.3
332,-46.55937499999998
333,-32.038125000000036
334,-24.404218750000016
335,-43.606249999999996
336,-33.31437500000012
337,-35.99984375000003
338,-29.291875000000054
339,-20.147656250000068
340,-12.397031249999973
341,-20.836406250000007
342,-18.332812499999992
343,-36.092343750000026
344,-32.98703125000001
345,-41.33453124999999
346,-44.527812500000024
347,-31.063750000000052
348,-43.50234375000003
349,-43.950625000000066
350,-34.85531249999997
351,-41.01578125000026
352,-10.65390624999999
353,-39.390468750000174
354,-29.533281249999984
355,-28.28078125000008
356,-16.782031249999992
357,-25.87984375000005
358,-20.620312499999986
359,-24.891875000000027
360,-27.992968749999985
361,-38.50421875000001
362,-18.75375000000002
363,-46.65109375000006
364,-24.367500000000035
365,-23.921874999999947
366,-40.26234375000001
367,-28.52875000000006
368,-33.027187499999975
369,-21.869843749999987
370,-21.15140625000004
371,-27.20812500000006
372,-25.052187500000016
373,-35.10750000000002
374,-39.14406249999997
375,-23.348593750000013
376,-27.505781250000016
377,-27.62765624999998
378,-29.83406250000001
379,-31.13937499999998
380,-38.05984374999997
381,-30.27125000000003
382,-21.892500000000037
383,-25.634687500000034
384,-27.94859375000004
385,-17.796406250000004
386,-42.52109375
387,-33.475781250000004
388,-27.09953125000002
389,-29.871562499999975
390,-30.66328124999996
391,-31.236562500000016
392,-12.458437499999967
393,-29.799687500000026
394,-28.355781250000003
395,-37.92312500000009
396,-28.472031250000022
397,-6.247499999999973
398,-17.75640625000005
399,-40.19484374999998
400,-16.769531249999996
401,-36.242500000000014
402,-25.13171874999998
403,-43.75359375000001
404,-32.18859375000002
405,-15.968593749999984
406,-29.93046875000007
407,-38.35046875000007
408,-11.790156249999981
409,-44.89296874999997
410,-39.34265624999998
411,-23.438437500000024
412,-40.52093750000001
413,-35.89984375
414,-40.98406249999999
415,-8.674843749999981
416,-35.448125000000054
417,-34.27109375000017
418,-22.374687500000054
419,-44.004999999999946
420,-22.032968749999984
421,-33.51656250000007
422,-25.454218749999992
423,-23.643125000000055
424,-16.671562500000068
425,-13.846249999999994
426,-24.78531250000001
427,-19.852031250000014
428,-33.490000000000045
429,-28.2964062500001
430,-23.521562500000012
431,-17.982031249999988
432,-13.248593749999994
433,-22.677968749999966
434,-27.05031250000008
435,-41.65765625000001
436,-28.40312500000004
437,-24.213593749999976
438,-26.301875000000116
439,-2.687499999999983
440,-5.167499999999996
441,-27.857500000000048
442,-30.164062500000092
443,-24.57609375000001
444,-19.355468750000146
445,-26.67250000000015
446,-22.42609375000003
447,-8.239843749999961
448,-26.75984375000005
449,-11.167656249999968
450,-6.595468749999979
451,-15.65531249999999
452,-15.901718750000082
453,-37.14515625000018
454,-15.39265624999996
