Episode,AverageReward_CQL
1,-48.10515625000015
2,-49.36734375000027
3,-49.38390625000016
4,-49.240000000000165
5,-49.028750000000066
6,-47.84468750000005
7,-47.19640624999997
8,-49.26453125000007
9,-46.43624999999993
10,-48.92546875000009
11,-47.48671875000011
12,-46.9535937500001
13,-43.5825000000002
14,-45.77781250000018
15,-45.533125000000155
16,-48.98078125000007
17,-46.135625000000296
18,-48.69171874999994
19,-49.13234375000031
20,-46.24062500000001
21,-43.336718750000266
22,-47.46265625000015
23,-49.40953125000011
24,-48.60468749999997
25,-48.380000000000095
26,-47.51296875000021
27,-48.84109375000003
28,-47.0379687499999
29,-49.645625000000216
30,-47.234531250000096
31,-49.103437500000105
32,-49.15765625000016
33,-46.824218750000085
34,-49.130937499999895
35,-46.73421875000005
36,-44.75859375000002
37,-48.525937500000005
38,-40.30234375000007
39,-49.439531250000286
40,-46.09015625000017
41,-47.35093750000015
42,-48.07609375000015
43,-48.251562500000006
44,-47.76453125000007
45,-49.26125000000029
46,-48.927968749999984
47,-49.264375000000015
48,-48.935937499999994
49,-48.30390625000006
50,-46.28250000000019
51,-48.610625000000034
52,-49.071093749999996
53,-48.87671875000013
54,-49.25781250000012
55,-48.9951562500001
56,-45.11296875000006
57,-48.79156250000005
58,-46.39250000000009
59,-47.18656250000018
60,-44.267187500000155
61,-49.33062500000012
62,-49.28687500000018
63,-49.18390625000013
64,-49.01546875000002
65,-49.277656250000135
66,-48.751562499999984
67,-47.02828124999995
68,-46.684374999999996
69,-49.09953125000005
70,-47.228593750000236
71,-46.53359375000022
72,-49.42734375000026
73,-48.85312500000014
74,-49.095312500000084
75,-49.1065625
76,-48.79421875
77,-47.5648437500003
78,-48.98406250000002
79,-47.49375000000025
80,-47.32437500000014
81,-46.06187500000031
82,-49.25015625000026
83,-47.79640625000007
84,-48.99343750000011
85,-49.11812500000019
86,-47.11187500000016
87,-45.546250000000164
88,-49.11593750000002
89,-49.089843750000156
90,-47.7637500000001
91,-47.45515625000006
92,-49.36500000000001
93,-49.24687500000028
94,-43.57406250000017
95,-46.92812499999997
96,-48.995000000000054
97,-48.6784375
98,-48.94593750000001
99,-45.935156250000006
100,-47.01359374999992
101,-49.19171875000017
102,-48.80984375000001
103,-47.52796875000025
104,-47.38593750000018
105,-47.02953125000004
106,-46.13578125000011
107,-48.98078125000002
108,-47.97484375000038
109,-43.77578125000002
110,-48.984218750000025
111,-47.10734375000005
112,-49.24562500000008
113,-49.28859375000022
114,-48.08734375000022
115,-48.75562499999989
116,-48.970625000000105
117,-47.49687500000006
118,-46.11203125000007
119,-49.19265625000028
120,-48.94171875000002
121,-47.01750000000003
122,-46.43046875000013
123,-48.81671874999994
124,-49.17406249999993
125,-48.97453125000009
126,-49.09875000000004
127,-49.35765625000012
128,-46.9684375000001
129,-47.28968750000018
130,-41.48546875000016
131,-46.20562500000016
132,-48.75234375000002
133,-49.193437500000236
134,-49.055156250000145
135,-49.32031250000013
136,-49.36125000000004
137,-47.367500000000184
138,-49.15625000000016
139,-48.51171874999999
140,-47.51265625000002
141,-49.654687500000406
142,-49.2192187500001
143,-49.18140625000014
144,-48.28156250000007
145,-45.20640625000015
146,-48.9184375000001
147,-47.00500000000015
148,-48.812343749999975
149,-49.24765625000016
150,-49.215468750000156
151,-48.273906250000046
152,-48.58843749999998
153,-46.974375000000286
154,-47.59359374999997
155,-45.150156250000116
156,-46.698906250000235
157,-48.86234374999991
158,-48.99046875000011
159,-46.680312500000085
160,-49.267031250000166
161,-46.50875000000005
162,-47.023593750000146
163,-48.798124999999956
164,-47.76750000000001
165,-48.801875000000024
166,-48.04640625000014
167,-46.41406250000001
168,-48.5671874999999
169,-48.17875000000031
170,-47.06015625000035
171,-49.18500000000018
172,-47.10218750000007
173,-47.275468750000066
174,-47.38125000000012
175,-49.1985937500001
176,-48.98546874999998
177,-49.170937500000086
178,-49.099687500000186
179,-47.34218749999994
180,-48.72562499999999
181,-48.99234375000008
182,-47.78500000000008
183,-47.389375000000136
184,-48.73015625000021
185,-49.41031250000025
186,-48.97531249999985
187,-45.05656250000007
188,-49.29218750000012
189,-49.28437500000001
190,-49.154843750000225
191,-46.78562500000005
192,-49.33109375000014
193,-48.85671874999993
194,-49.07000000000011
195,-48.58937500000002
196,-49.36000000000006
197,-48.96750000000017
198,-48.82046875000019
199,-46.96828125000008
200,-48.81921875000011
201,-42.08078125000017
202,-49.3339062500002
203,-49.16312499999997
204,-48.87031250000017
205,-49.442031250000234
206,-47.16765625000001
207,-46.23828125000004
208,-46.62187500000015
209,-47.39718750000016
210,-46.50187500000017
211,-49.3475000000003
212,-46.229218749999944
213,-48.951406250000076
214,-48.886249999999855
215,-48.798125000000056
216,-46.94328125000026
217,-48.898281250000245
218,-48.79437500000002
219,-48.43125000000003
220,-47.081093750000214
221,-48.77437499999999
222,-48.793750000000095
223,-49.35218750000046
224,-47.59343750000017
