Episode,AverageReward_CentralizedIQL
1,-43.532500000000155
2,-43.56609375000019
3,-44.12359375
4,-49.29921875000014
5,-36.00156250000027
6,-47.421718750000025
7,-49.373437500000364
8,-46.44515625000007
9,-45.2326562500001
10,-47.10765625000004
11,-47.82625000000013
12,-48.69468750000009
13,-45.998750000000214
14,-47.303125000000236
15,-49.150937500000104
16,-47.04625
17,-49.14640625000017
18,-49.0464062500001
19,-48.83078124999998
20,-49.5204687500002
21,-48.78812500000003
22,-41.813437500000106
23,-43.90671875000015
24,-43.27750000000025
25,-45.77234375000013
26,-47.69687500000005
27,-45.429687500000185
28,-43.6050000000001
29,-49.033437500000176
30,-40.13968750000029
31,-49.43562500000035
32,-48.03625000000005
33,-44.728906250000314
34,-42.50593750000007
35,-46.15078125000011
36,-42.79375000000006
37,-37.6234375000002
38,-49.12156250000005
39,-44.387968750000084
40,-44.855781250000184
41,-46.14531250000021
42,-45.30421875000018
43,-40.03656250000001
44,-47.131718750000054
45,-43.26921875000018
46,-45.488125000000075
47,-44.64890625000007
48,-45.38750000000016
49,-40.851875000000085
50,-37.129375000000124
51,-43.99406250000016
52,-42.636250000000125
53,-47.15031250000009
54,-42.29828125000023
55,-46.82078125000026
56,-49.58890625000033
57,-38.8335937500002
58,-38.44453125000013
59,-45.99484375000016
60,-47.97515625000027
61,-45.56000000000023
62,-49.221875000000026
63,-46.73546875000012
64,-42.04812500000035
65,-49.194843750000246
66,-43.662656250000175
67,-43.125937500000205
68,-44.50281250000029
69,-48.290156250000344
70,-44.863593750000035
71,-41.02609375000017
72,-36.1929687500002
73,-40.64843750000015
74,-41.94578125000021
75,-36.80781250000029
76,-41.54093750000029
77,-45.769375000000224
78,-44.61500000000017
79,-44.300937500000195
80,-37.390937500000184
81,-40.737812500000054
82,-35.851875000000184
83,-43.590156250000106
84,-37.09234375000023
85,-43.402500000000195
86,-44.36531250000008
87,-47.764843750000345
88,-37.09218750000022
89,-44.75453125000023
90,-43.2314062500003
91,-49.021093750000084
92,-47.98328125000015
93,-40.48953125000023
94,-47.422656250000216
95,-44.06765625000011
96,-45.509062500000226
97,-36.13281250000028
98,-37.98031250000013
99,-43.601562500000114
100,-41.32296875000009
101,-40.80281250000001
102,-49.337500000000155
103,-39.31750000000003
104,-38.20781250000024
105,-42.08500000000033
106,-39.453906250000266
107,-47.711250000000305
108,-43.878125000000196
109,-42.54187500000025
110,-49.06875000000009
111,-48.71640625000002
112,-32.53765625000005
113,-43.09953125000033
114,-39.35687500000031
115,-47.19359375000021
116,-42.68843750000025
