Episode,AverageReward_IQL
1,-44.11062500000003
2,-46.07156250000002
3,-45.66359375000007
4,-46.71828125000001
5,-40.905781250000125
6,-36.28312499999996
7,-38.62718750000005
8,-39.00781250000005
9,-32.84984375000004
10,-38.47499999999999
11,-47.947343750000044
12,-37.26796875000003
13,-44.94937500000006
14,-31.810312500000034
15,-36.20953125000023
16,-41.53859375000001
17,-38.28281250000021
18,-29.21359375000008
19,-38.00656250000002
20,-0.6703124999999365
21,-38.68312500000001
22,-28.27703125000019
23,-31.64328125000001
24,-29.87562500000005
25,-19.556562500000044
26,-25.375625000000014
27,-19.8665625
28,-32.20156250000003
29,-28.671562500000164
30,-21.326875000000044
31,-17.887031249999982
32,-34.52671875000009
33,-17.890468750000036
34,-23.737500000000004
35,-26.43828124999998
36,-24.832656250000067
37,-25.91015625000011
38,-21.44281250000006
39,-32.64859375000008
40,-6.445624999999964
41,-1.1796874999999696
42,-34.075000000000045
43,-15.941406250000012
44,-18.100781249999965
45,-20.02515625000001
46,-14.046718749999956
47,-20.62625000000007
48,-28.11937500000016
49,-41.1690625000003
50,-23.1145312500001
51,2.92078125000003
52,-23.24031250000002
53,-26.0996875000001
54,-9.554687499999941
55,-14.913593749999931
56,-8.789374999999966
57,-28.46140625000003
58,-11.788281249999994
59,-17.221718750000004
60,-13.65531249999994
61,-15.485468749999981
62,-26.10171874999997
63,-16.273281249999954
64,-19.128281250000033
65,-1.4396874999999594
66,-24.241093750000047
67,-28.817500000000084
