Episode,AverageReward_CQL
1,-43.44890625000012
2,-34.77921875000025
3,-24.88203125000004
4,-35.62468749999999
5,-26.763437500000073
6,-24.750000000000057
7,-21.68765624999999
8,-16.49468750000003
9,-29.900781250000016
10,-28.496250000000124
11,-21.565937499999993
12,-31.180156250000042
13,-25.14984375000017
14,-32.90312500000011
15,-23.872812500000098
16,-29.65109375000011
17,-23.265625000000007
18,-19.90921875000001
19,-34.88796875000012
20,-29.301406250000078
21,-30.257031250000075
22,-29.189062500000027
23,-39.22062500000001
24,-32.409375000000004
25,-37.87875
26,-21.71078125000001
27,-42.035625
28,-33.39453125000003
29,-37.43640625
30,-28.555937500000027
31,-39.84125000000004
32,-41.695312500000064
33,-23.535156249999996
34,-33.38484374999999
35,-36.95999999999999
36,-39.73343749999997
37,-19.935937500000012
38,-12.431093749999976
39,-28.51671874999999
40,-43.803906250000004
41,-37.984687500000014
42,-33.29406249999999
43,-35.650000000000084
44,-24.415937500000066
45,-30.987656249999954
46,-33.412656249999976
47,-38.986249999999984
48,-19.509218749999974
49,-42.479062500000005
50,-28.812031250000025
51,-21.525468750000115
52,-29.697500000000137
53,-36.550000000000004
54,-22.63734374999999
55,-26.125937500000045
56,-38.492812500000014
57,-14.24406249999997
58,-37.49265625000006
59,-19.814999999999994
60,-7.567499999999995
61,-30.614374999999995
62,-26.525624999999994
63,-35.90671875000009
64,-24.919843750000105
65,-34.19171875000007
66,-29.226875000000007
67,-36.3621875
68,-26.673437499999974
69,-35.34703125000022
70,-25.076249999999984
71,-38.73843750000004
72,-33.690781250000036
73,-32.260156250000044
74,-22.303437500000058
75,-21.679687500000064
76,-45.66046874999998
77,-32.33953125000006
78,-34.955468750000044
79,-22.64906249999999
80,-29.92234375000003
81,-37.20500000000004
82,-33.38656250000003
83,-40.39218749999997
84,-31.130937500000016
85,-36.64562500000003
86,-28.046406250000054
87,-27.951562499999962
88,-31.88484375000002
89,-39.125781249999996
90,-35.682812500000104
91,-38.21171875000008
92,-27.04718749999998
93,-23.433906249999975
94,-32.03015625000007
95,-23.839843750000053
96,-33.96546875000008
97,-32.3312500000001
98,-22.362343750000058
99,-40.65015624999996
100,-28.881562500000005
101,-33.88437500000009
102,-30.25906250000011
103,-27.007187500000132
104,-30.345156250000027
105,-25.415000000000017
106,-23.177968750000026
107,-34.061875000000185
108,-23.96453124999997
109,-19.94312499999995
110,-26.62593750000005
111,-23.270000000000195
112,-22.4371875000001
113,-16.245468749999972
114,-18.740468750000066
115,-22.03093750000007
116,-40.056874999999984
117,-24.387187500000024
118,-9.5053125
119,-25.198750000000018
120,-26.602968749999977
121,-33.372500000000095
122,-43.18890625000002
123,-45.651406249999994
124,-40.988593750000014
125,-32.491875
126,-29.662968750000008
127,-18.695781250000007
128,-43.55515624999993
129,-45.537187499999966
130,-25.12046875000001
131,-43.43015625000003
132,-34.12937499999998
133,-41.27718750000003
134,-39.804218750000025
135,-28.375781250000152
136,-18.33953125000002
137,-21.80718750000005
138,-13.777812500000023
139,-28.048124999999995
140,-34.18171875000008
141,-27.31390625000012
142,-33.32984375
143,-37.8570312500001
144,-44.186093750000005
145,-28.498437500000048
146,-41.30750000000003
147,-38.90578124999996
148,-42.5996875000001
149,-25.260625000000122
150,-38.876874999999934
151,-36.08406250000002
152,-24.149843750000063
153,-34.30015625000005
154,-31.44734374999999
155,-41.55765624999997
156,-47.16234375
157,-39.52874999999998
158,-30.433750000000007
159,-14.990937499999985
160,-24.913593750000018
161,-36.847968750000035
162,-33.175468749999986
163,-23.175468750000014
164,-23.069375000000065
165,-31.391874999999978
166,-30.39640625000019
167,-45.42281250000001
168,-32.06421875
169,-30.31500000000008
170,-33.52453125000011
171,-38.01859375000029
172,-23.781718750000138
173,-25.03234375000002
174,-18.03640625000003
175,-14.058437500000041
176,-8.741874999999972
177,-27.29687500000002
178,-38.33265625000001
179,-36.568281250000034
180,-31.551093750000174
181,-15.985156250000019
182,-18.47781250000003
183,-32.237500000000175
184,-20.158906250000072
185,-41.05921875000006
186,-23.422187500000078
187,-21.934218750000014
188,-42.30718750000003
189,-37.194218750000026
190,-36.5321875
191,-32.57328125000003
192,-25.361093750000023
193,-19.834687499999983
194,-28.323281250000043
195,-39.951874999999966
196,-30.85546875000003
197,-34.81015625000011
198,-29.25953125000006
199,-25.347968750000067
200,-33.30671874999999
201,-21.660937499999992
202,-40.833125000000145
203,-34.69875000000013
204,-17.15656250000009
205,-20.717656250000122
206,-26.77343750000009
207,-28.492031250000306
208,-21.788281249999997
209,-24.592343750000058
210,-28.24484374999998
211,-18.689843749999984
212,-17.273749999999982
213,-27.323281250000115
214,-14.143906249999986
215,-21.37015625000001
216,-12.844374999999987
217,-19.936406250000008
218,-14.24984374999998
219,-18.875781250000017
220,-14.975312499999962
221,-18.047343749999985
222,-13.765312500000023
223,-27.420781250000065
224,-23.870156250000093
225,-21.22218750000003
226,-16.68624999999999
227,-31.406562499999986
228,-18.13031249999997
229,-25.527031250000025
230,-29.234375000000053
231,-20.678906249999958
232,-39.17781250000001
233,-29.713125000000044
234,-29.501093750000116
235,-19.167499999999933
236,-30.05484375000006
237,-27.920000000000066
238,-35.14734375000021
239,-23.145156250000017
240,-33.94250000000017
241,-22.312343750000057
242,-21.282812499999974
243,-34.57593750000004
244,-28.941250000000032
245,-20.972656250000025
246,-18.47578125000001
247,-24.33609375000003
