Episode,AverageReward_CQL
10,-31.004218750000007
20,-40.89740625000013
30,-35.53634375000009
40,-33.15593750000002
50,-28.654562499999997
60,-30.278000000000084
70,-31.65459375000005
80,-36.33146875
90,-39.413875000000004
100,-36.27221875000013
110,-28.578593750000078
120,-31.73228125000017
130,-34.16875000000003
140,-25.730281250000058
150,-34.40981250000001
160,-34.23975000000007
170,-28.658593750000136
180,-35.49190625000002
190,-33.66246875000003
200,-28.269375000000036
210,-25.21337500000007
220,-28.168781250000052
230,-32.0347500000001
240,-29.19599999999999
250,-16.83393750000001
260,-32.543062500000076
270,-25.20278125000006
280,-39.70646875
290,-25.22906250000003
300,-21.611187499999982
310,-39.38353125000006
320,-25.852250000000037
330,-25.767093750000083
340,-32.528593750000006
350,-31.390937500000042
360,-36.95450000000006
370,-31.823312500000014
380,-16.79390625000001
390,-26.60578125000007
400,-30.08000000000006
410,-30.050968750000088
420,-31.67496875000014
430,-31.281187500000016
440,-27.289781250000033
450,-31.05034375000012
460,-24.48112500000003
470,-27.150093750000053
480,-28.594531250000006
490,-23.73996875000001
500,-24.564875000000015
510,-21.10903125000005
520,-32.69100000000002
530,-41.92406250000003
540,-39.24390625000003
550,-19.894812499999997
560,-25.583843749999993
570,-26.303843750000006
580,-27.89546875000001
590,-36.38825000000002
600,-31.26993750000002
610,-21.803906250000015
620,-29.98565625000009
630,-18.953937500000013
640,-26.551062500000047
650,-30.432093750000053
660,-38.838875000000016
670,-42.85396874999999
680,-31.741062500000005
690,-36.01800000000005
700,-24.193937500000015
710,-33.68525000000004
720,-28.55275000000007
730,-30.955531250000018
740,-35.29184375000006
750,-30.110312500000145
760,-28.731031250000097
770,-37.78618750000011
780,-32.80637500000009
790,-32.369375000000055
800,-26.216187500000007
810,-25.103125000000013
820,-31.579531250000166
830,-24.30978125000005
840,-35.33890624999997
850,-29.788812500000034
860,-29.042281250000066
870,-27.996187500000065
880,-28.34040625000005
890,-33.65878125000009
900,-33.235093750000004
910,-34.41915625000009
920,-36.40484375000002
930,-30.152625000000018
940,-42.2879375
950,-42.86196874999998
960,-29.80762500000003
970,-33.50771875000008
980,-31.62506250000004
990,-29.69865625
1000,-39.177343750000105
