Episode,AverageReward_IQL
1,-44.11062500000003
2,-46.07156250000002
3,-45.66359375000007
4,-46.71828125000001
5,-40.905781250000125
6,-36.28312499999996
7,-38.62718750000005
8,-39.00781250000005
9,-32.84984375000004
10,-38.47499999999999
11,-47.947343750000044
12,-37.26796875000003
13,-44.94937500000006
14,-31.810312500000034
15,-36.20953125000023
16,-41.53859375000001
17,-38.28281250000021
18,-29.21359375000008
19,-38.00656250000002
20,-0.6703124999999365
21,-38.68312500000001
22,-28.27703125000019
23,-31.64328125000001
24,-29.87562500000005
25,-19.556562500000044
26,-25.375625000000014
27,-19.8665625
28,-32.20156250000003
29,-28.671562500000164
30,-21.326875000000044
31,-17.887031249999982
32,-34.52671875000009
33,-17.890468750000036
34,-23.737500000000004
35,-26.43828124999998
36,-24.832656250000067
37,-25.91015625000011
38,-21.44281250000006
39,-32.64859375000008
40,-6.445624999999964
41,-1.1796874999999696
42,-34.075000000000045
43,-15.941406250000012
44,-18.100781249999965
45,-20.02515625000001
46,-14.046718749999956
47,-20.62625000000007
48,-28.11937500000016
49,-41.1690625000003
50,-23.1145312500001
51,2.92078125000003
52,-23.24031250000002
53,-26.0996875000001
54,-9.554687499999941
55,-14.913593749999931
56,-8.789374999999966
57,-28.46140625000003
58,-11.788281249999994
59,-17.221718750000004
60,-13.65531249999994
61,-15.485468749999981
62,-26.10171874999997
63,-16.273281249999954
64,-19.128281250000033
65,-1.4396874999999594
66,-24.241093750000047
67,-28.817500000000084
68,-19.342499999999998
69,-27.236875000000055
70,-18.14296874999999
71,-10.384687499999986
72,-11.026093749999962
73,-6.734999999999965
74,-23.255000000000077
75,-12.380312499999999
76,-24.375000000000174
77,-27.423281250000084
78,-2.9474999999999736
79,-19.518437500000037
80,-10.635156249999964
81,-16.123124999999984
82,-14.927343749999963
83,-11.619843749999966
84,-6.614218749999978
85,-8.87906249999999
86,-16.447187499999966
87,-18.735937499999988
88,-6.7946874999999585
89,-5.3853124999999835
90,-8.744218750000014
91,-20.220312500000002
92,-26.96812499999996
93,-25.572656250000023
94,-31.0090625
95,-26.58703124999999
96,-31.514218749999994
97,-29.36062500000005
98,-22.879218749999975
99,-14.256562499999998
100,-9.20484375000001
101,-3.9182812499999966
102,-34.51578124999998
103,-24.57484374999999
104,-12.8203125
105,-33.80890625000007
106,-20.99906250000004
107,-20.319687499999976
108,-13.18390624999999
109,-19.607812499999998
110,-23.00062499999999
111,-12.173906249999998
112,-36.61750000000001
113,-34.94640625000003
114,-23.1196875
115,-9.124531250000002
116,-15.880468749999993
117,-19.910156250000004
118,6.868593750000045
119,-16.219218749999985
120,-8.363593749999994
121,-11.651249999999994
122,-11.45031249999997
123,-12.370468749999985
124,-10.511249999999963
125,2.5364062499999958
126,-16.595468749999963
127,-4.9473437499999635
128,-31.925468749999993
129,-21.65749999999997
130,-12.83640625
131,-21.185625000000016
132,-15.584999999999967
133,3.127343750000023
134,-29.64328124999998
135,-28.28968750000001
136,-24.43546874999996
137,-22.558593749999996
138,-12.143281250000003
139,-12.47625
140,-27.451562499999973
141,-2.039999999999985
142,-15.83390625
143,-20.82749999999999
144,-24.011718750000025
145,-8.666093750000003
146,-17.82609374999998
147,-22.127968749999983
148,-15.08968750000001
149,-22.3790625
150,-17.51281250000001
151,-13.818593749999993
152,-24.664843750000017
153,-13.372968750000016
154,-16.635312499999994
155,-27.68093750000002
156,-13.939375000000013
157,-18.607343749999984
158,-6.90703124999999
159,-12.834531250000024
160,-7.093750000000001
161,-16.071562500000002
162,1.0970312500000012
163,-23.771875
164,0.23843750000001535
165,-23.355937499999982
166,-14.519687500000002
167,-11.103593749999995
168,-17.493906249999984
169,-15.08296874999999
170,-5.435937499999993
171,-10.712968749999977
172,9.175781249999998
173,-26.734843749999985
174,-5.12234375
175,-12.28156249999999
176,-12.45562500000001
177,-1.5535937499999797
178,-7.077499999999994
179,-21.41999999999998
180,-7.65656250000002
181,-11.213125000000003
182,-20.345156249999974
183,0.026093750000001942
184,-16.57031250000001
185,1.2326562500000149
186,7.292343750000021
187,-6.267343749999982
188,-18.388125
189,-5.84890625
190,-12.607812500000001
191,13.959999999999983
192,-5.363593749999998
193,-14.135625000000003
194,-20.655312500000004
195,7.3582812499999894
196,-5.437656249999997
197,-6.365937499999971
198,10.523124999999991
199,-6.154531250000002
200,-15.102812500000024
201,-16.291250000000005
202,-22.21656249999998
203,-15.551093749999996
204,-7.089687500000013
205,17.1173437499999
206,-33.53671875000003
207,-11.061406250000012
208,1.4435937500000202
209,3.208281250000024
210,2.787343749999998
211,-6.804375000000001
212,-1.5209374999999996
213,-6.764843749999984
214,-0.2650000000000004
215,-4.292343749999993
216,-13.878593750000022
217,-4.6340624999999855
218,-9.086562500000007
219,-17.41687499999999
220,-25.97453125000001
221,-21.142968749999998
222,-11.125781250000003
223,-27.44796874999998
224,1.2229687500000066
225,14.664062500000025
226,-6.979374999999998
227,-16.340468750000003
228,-9.255156249999999
229,-8.26171874999998
230,-5.871874999999992
231,0.8764062499999986
232,-11.110156249999964
233,-6.949687499999981
234,-26.860156250000014
235,-2.8859375
236,-12.668281249999971
237,23.94718749999982
238,1.9237500000000198
239,12.568906249999928
240,-2.5368749999999953
241,-10.607656249999984
242,-21.94843749999998
243,8.156250000000014
244,-6.798124999999958
